what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257910984154
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257910984306
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257910988334
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257910989798
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911006446
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911015622
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911016838
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911018266
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911032401
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1257911046187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911051339
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911058954
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1257911075749
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1257911089433
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911089514
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1257911089833
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911098375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257911100009
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1257911100023
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1257911102831
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911102930
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911105359
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911106898
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911108957
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.StepInto",1257911111431
