what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257906608227
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257906613839
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1257906628811
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1257906629126
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1257906629483
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1257906629735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906636211
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906668781
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257906673186
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906674152
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906676356
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906676428
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906677770
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257906686707
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257906711363
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906717706
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906721711
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1257906721722
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906722743
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906732667
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1257906732680
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906737036
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257906739184
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1257906739195
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257906746077
