what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912268485
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912272393
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912272824
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912273009
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912274031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912274465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912436810
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257912436837
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1257912486961
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912491126
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912492992
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1257912516960
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1257912521428
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1257912563498
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912567541
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912568998
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1257912572211
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1257912574714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257912597578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912599970
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912606401
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912612032
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912612038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912612114
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257912657817
