what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883060896
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883068118
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883076322
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1257883108184
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1257883108200
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257883109374
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883111066
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883256674
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257883256704
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257883270254
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883272226
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883274932
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883276635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883277073
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883277253
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883278223
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883278662
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883297576
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257883297599
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257883301073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257886243719
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257886395909
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257887120713
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257887122418
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257887563166
