what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1257903793293
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257903795247
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257903796086
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903804527
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903814035
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257903814870
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257903824298
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257903828357
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903829927
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903872971
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903879574
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903923678
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257903927061
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257903931531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903933733
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903951380
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257903954746
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257903962413
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903971578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903988606
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1257903988700
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257903995767
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904020169
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257904039646
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904047415
