what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904300997
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1257904320001
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904336928
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904342253
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257904344473
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904345705
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1257904348759
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904351589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904353152
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904392436
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904416494
activated,editor,com.android.ide.eclipse.adt,0.9.4.v200910220141-17704,"com.android.ide.eclipse.editors.layout.LayoutEditor",1257904418449
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904420014
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1257904421772
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904426237
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904467887
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904487890
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1257904489510
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904492092
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904510679
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904568724
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904571043
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1257904574069
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1257904584685
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1257904601708
